#: table_doi: 10.17182/hepdata.90835.v1/t25
#: name: T1bbbb cross section upper limits
#: description: The 95% CL expected upper limits on the production cross sections of the T1bbbb signal model as a function of the gluino and LSP masses.
#: data_file: t1bbbb_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> BQ BQBAR NEUTRALINO1
#: Upper Limit,Expected
#: LUMINOSITY [fb$^{-1}$],137
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
607.42,6.9344,0.0035348
607.42,18.803,0.0035354
607.42,30.672,0.0035359
607.42,42.541,0.0035364
607.42,54.409,0.0035369
607.42,66.278,0.0035375
607.42,78.147,0.003538
607.42,90.016,0.0035385
607.42,101.88,0.0036635
607.42,113.75,0.00445
607.42,125.62,0.0052364
607.42,137.49,0.0060229
607.42,149.36,0.0068094
607.42,161.23,0.0075958
607.42,173.1,0.0083823
607.42,184.97,0.0091688
607.42,196.83,0.0096732
607.42,208.7,0.010249
607.42,220.57,0.011033
607.42,232.44,0.011818
607.42,244.31,0.012603
607.42,256.18,0.013387
607.42,268.05,0.014172
607.42,279.92,0.014957
607.42,291.78,0.015741
607.42,303.65,0.016047
607.42,315.52,0.016868
607.42,327.39,0.01769
607.42,339.26,0.018511
607.42,351.13,0.019333
607.42,363.0,0.020154
607.42,374.87,0.020976
607.42,386.73,0.021797
607.42,398.6,0.022385
607.42,410.47,0.024589
607.42,422.34,0.028695
607.42,434.21,0.033767
607.42,446.08,0.038839
607.42,457.95,0.043912
607.42,469.82,0.048984
607.42,481.68,0.054056
607.42,493.55,0.059129
607.42,505.42,0.064076
607.42,517.29,0.085576
607.42,529.16,0.11046
607.42,541.03,0.13535
607.42,552.9,0.18612
607.42,564.77,0.3171
607.42,576.63,0.39845
607.42,588.5,0.0
607.42,600.37,0.0
607.42,612.24,0.0
607.42,624.11,0.0
607.42,635.98,0.0
607.42,647.85,0.0
607.42,659.72,0.0
607.42,671.58,0.0
607.42,683.45,0.0
607.42,695.32,0.0
607.42,707.19,0.0
607.42,719.06,0.0
607.42,730.93,0.0
607.42,742.8,0.0
607.42,754.67,0.0
607.42,766.53,0.0
607.42,778.4,0.0
607.42,790.27,0.0
607.42,802.14,0.0
607.42,814.01,0.0
607.42,825.88,0.0
607.42,837.75,0.0
607.42,849.62,0.0
607.42,861.48,0.0
607.42,873.35,0.0
607.42,885.22,0.0
607.42,897.09,0.0
607.42,908.96,0.0
607.42,920.83,0.0
607.42,932.7,0.0
607.42,944.57,0.0
607.42,956.43,0.0
607.42,968.3,0.0
607.42,980.17,0.0
607.42,992.04,0.0
607.42,1003.9,0.0
607.42,1015.8,0.0
607.42,1027.6,0.0
607.42,1039.5,0.0
607.42,1051.4,0.0
607.42,1063.3,0.0
607.42,1075.1,0.0
607.42,1087.0,0.0
607.42,1098.9,0.0
607.42,1110.7,0.0
607.42,1122.6,0.0
607.42,1134.5,0.0
607.42,1146.3,0.0
607.42,1158.2,0.0
607.42,1170.1,0.0
607.42,1181.9,0.0
607.42,1193.8,0.0
607.42,1205.7,0.0
607.42,1217.5,0.0
607.42,1229.4,0.0
607.42,1241.3,0.0
607.42,1253.2,0.0
607.42,1265.0,0.0
607.42,1276.9,0.0
607.42,1288.8,0.0
607.42,1300.6,0.0
607.42,1312.5,0.0
607.42,1324.4,0.0
607.42,1336.2,0.0
607.42,1348.1,0.0
607.42,1360.0,0.0
607.42,1371.8,0.0
607.42,1383.7,0.0
607.42,1395.6,0.0
607.42,1407.4,0.0
607.42,1419.3,0.0
607.42,1431.2,0.0
607.42,1443.1,0.0
607.42,1454.9,0.0
607.42,1466.8,0.0
607.42,1478.7,0.0
607.42,1490.5,0.0
607.42,1502.4,0.0
607.42,1514.3,0.0
607.42,1526.1,0.0
607.42,1538.0,0.0
607.42,1549.9,0.0
607.42,1561.7,0.0
607.42,1573.6,0.0
607.42,1585.5,0.0
607.42,1597.3,0.0
607.42,1609.2,0.0
607.42,1621.1,0.0
607.42,1633.0,0.0
607.42,1644.8,0.0
607.42,1656.7,0.0
607.42,1668.6,0.0
607.42,1680.4,0.0
607.42,1692.3,0.0
607.42,1704.2,0.0
607.42,1716.0,0.0
607.42,1727.9,0.0
607.42,1739.8,0.0
607.42,1751.6,0.0
607.42,1763.5,0.0
607.42,1775.4,0.0
607.42,1787.2,0.0
607.42,1799.1,0.0
607.42,1811.0,0.0
607.42,1822.9,0.0
607.42,1834.7,0.0
607.42,1846.6,0.0
