#: table_doi: 10.17182/hepdata.90835.v1/t46
#: name: T2tt cross section upper limits
#: description: The 95% CL observed and expected upper limits on the production cross sections of the T2tt signal model as a function of the top squark and LSP masses.
#: data_file: t2tt_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: Upper Limit,Observed
#: LUMINOSITY [fb$^{-1}$],137
M(STOP) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
157.23,4.5906,119.49
157.23,11.772,106.03
157.23,18.953,84.744
157.23,26.134,69.512
157.23,33.316,86.535
157.23,40.497,103.56
157.23,47.678,106.39
157.23,54.859,95.309
157.23,62.041,84.788
157.23,69.222,81.108
157.23,76.403,0.0
157.23,83.584,0.0
157.23,90.766,0.0
157.23,97.947,0.0
157.23,105.13,0.0
157.23,112.31,0.0
157.23,119.49,0.0
157.23,126.67,0.0
157.23,133.85,0.0
157.23,141.03,0.0
157.23,148.22,0.0
157.23,155.4,0.0
157.23,162.58,0.0
157.23,169.76,0.0
157.23,176.94,0.0
157.23,184.12,0.0
157.23,191.3,0.0
157.23,198.48,0.0
157.23,205.67,0.0
157.23,212.85,0.0
157.23,220.03,0.0
157.23,227.21,0.0
157.23,234.39,0.0
157.23,241.57,0.0
157.23,248.75,0.0
157.23,255.93,0.0
157.23,263.12,0.0
157.23,270.3,0.0
157.23,277.48,0.0
157.23,284.66,0.0
157.23,291.84,0.0
157.23,299.02,0.0
157.23,306.2,0.0
157.23,313.38,0.0
157.23,320.57,0.0
157.23,327.75,0.0
157.23,334.93,0.0
157.23,342.11,0.0
157.23,349.29,0.0
157.23,356.47,0.0
157.23,363.65,0.0
157.23,370.83,0.0
157.23,378.02,0.0
157.23,385.2,0.0
157.23,392.38,0.0
157.23,399.56,0.0
157.23,406.74,0.0
157.23,413.92,0.0
157.23,421.1,0.0
157.23,428.28,0.0
157.23,435.47,0.0
157.23,442.65,0.0
157.23,449.83,0.0
157.23,457.01,0.0
157.23,464.19,0.0
157.23,471.37,0.0
157.23,478.55,0.0
157.23,485.73,0.0
157.23,492.92,0.0
157.23,500.1,0.0
157.23,507.28,0.0
157.23,514.46,0.0
157.23,521.64,0.0
157.23,528.82,0.0
157.23,536.0,0.0
157.23,543.18,0.0
157.23,550.37,0.0
157.23,557.55,0.0
157.23,564.73,0.0
157.23,571.91,0.0
157.23,579.09,0.0
157.23,586.27,0.0
157.23,593.45,0.0
157.23,600.63,0.0
157.23,607.82,0.0
157.23,615.0,0.0
