#: table_doi: 10.17182/hepdata.91374.v1/t79
#: name: Figure 41ab
#: description: Observed and Expected upper cross-section limits for wino-bino scenarios, assuming $m(\tilde{\chi}_{2}^{0}) \times m(\tilde{\chi}_{1}^{0})>0$.
#: data_file: figure_41ab.yaml
#: keyword reactions: P P --> WINO BINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,60.0,61.571
100.0,40.0,18.504
100.0,25.0,12.643
100.0,15.0,7.3718
100.0,10.0,3.0019
100.0,5.0,1.4621
100.0,3.0,7.2446
100.0,2.0,11.985
100.0,1.5,34.967
100.0,1.0,1854.5
125.0,25.0,7.5847
125.0,15.0,5.9439
125.0,10.0,2.3929
125.0,5.0,1.2027
125.0,3.0,6.8693
125.0,2.0,15.507
125.0,1.5,41.469
125.0,60.0,25.831
125.0,40.0,6.1241
125.0,35.0,6.8217
125.0,30.0,7.9563
150.0,40.0,3.9121
150.0,35.0,3.6099
150.0,30.0,4.4374
150.0,25.0,5.4279
150.0,15.0,4.2561
150.0,10.0,1.7052
150.0,5.0,1.2569
150.0,3.0,6.8067
150.0,2.0,17.226
150.0,1.5,54.544
150.0,60.0,22.879
175.0,60.0,12.048
175.0,40.0,2.6744
175.0,35.0,2.7716
175.0,30.0,3.1699
175.0,25.0,3.7909
175.0,15.0,3.5074
175.0,10.0,1.3579
175.0,5.0,1.2654
175.0,3.0,8.0962
175.0,2.0,30.877
200.0,60.0,6.9031
200.0,40.0,1.786
200.0,35.0,2.0187
200.0,30.0,1.7114
200.0,25.0,3.0053
200.0,15.0,3.2971
200.0,10.0,1.4553
200.0,5.0,1.0634
200.0,3.0,7.9835
200.0,2.0,46.096
225.0,60.0,6.135
225.0,40.0,1.5396
225.0,25.0,2.2664
225.0,15.0,2.6698
225.0,10.0,1.2022
225.0,5.0,1.3572
225.0,3.0,10.143
225.0,2.0,51.247
250.0,40.0,1.3195
250.0,15.0,2.9073
250.0,10.0,1.2945
250.0,5.0,1.5384
250.0,3.0,10.944
275.0,40.0,1.0546
275.0,25.0,1.9966
275.0,15.0,2.6063
275.0,10.0,1.3017
275.0,5.0,1.4945
275.0,3.0,11.537
300.0,25.0,2.021
300.0,15.0,14.93
300.0,10.0,1.1874
300.0,5.0,1.7986
325.0,25.0,1.8552
325.0,15.0,2.5902
325.0,10.0,1.1533
325.0,5.0,1.7481
90.0,5.0,1.4438
90.0,3.0,8.3232
90.0,2.0,12.354
90.0,1.5,28.504
90.0,1.0,509.65

$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,60.0,56.879
100.0,40.0,18.418
100.0,25.0,7.709
100.0,15.0,3.4809
100.0,10.0,2.0344
100.0,5.0,1.7643
100.0,3.0,3.1646
100.0,2.0,5.9505
100.0,1.5,14.95
100.0,1.0,1246.8
125.0,25.0,4.9209
125.0,15.0,2.6183
125.0,10.0,1.5235
125.0,5.0,1.419
125.0,3.0,3.0779
125.0,2.0,6.8964
125.0,1.5,17.074
125.0,60.0,32.446
125.0,40.0,9.8999
125.0,35.0,7.8153
125.0,30.0,6.6116
150.0,40.0,6.5587
150.0,35.0,5.5455
150.0,30.0,4.3735
150.0,25.0,3.6824
150.0,15.0,1.875
150.0,10.0,1.2097
150.0,5.0,1.4396
150.0,3.0,2.8954
150.0,2.0,7.552
150.0,1.5,21.253
150.0,60.0,21.172
175.0,60.0,13.481
175.0,40.0,4.4895
175.0,35.0,3.8
175.0,30.0,3.4761
175.0,25.0,2.7798
175.0,15.0,1.6103
175.0,10.0,1.0614
175.0,5.0,1.4267
175.0,3.0,4.5132
175.0,2.0,20.316
200.0,60.0,8.6458
200.0,40.0,3.6492
200.0,35.0,3.3801
200.0,30.0,2.2536
200.0,25.0,2.2036
200.0,15.0,1.4128
200.0,10.0,1.03
200.0,5.0,1.3834
200.0,3.0,4.4228
200.0,2.0,29.089
225.0,60.0,7.1728
225.0,40.0,3.0738
225.0,25.0,1.8821
225.0,15.0,1.2427
225.0,10.0,0.93365
225.0,5.0,1.5193
225.0,3.0,5.5107
225.0,2.0,33.626
250.0,40.0,2.6269
250.0,15.0,1.2341
250.0,10.0,0.89212
250.0,5.0,1.6067
250.0,3.0,5.944
275.0,40.0,2.1852
275.0,25.0,1.4739
275.0,15.0,1.1182
275.0,10.0,0.87821
275.0,5.0,1.6088
275.0,3.0,6.3588
300.0,25.0,1.4638
300.0,15.0,8.1928
300.0,10.0,0.869
300.0,5.0,1.7084
325.0,25.0,1.4785
325.0,15.0,1.0985
325.0,10.0,0.80791
325.0,5.0,1.7747
90.0,5.0,1.8371
90.0,3.0,3.82
90.0,2.0,6.0619
90.0,1.5,12.45
90.0,1.0,738.91

