#: table_doi: 10.17182/hepdata.77891.v5/t32
#: name: X-section U.L. & best SR 2  : Meff+RJR
#: description: Observed 95% CL upper limit on the signal cross-section from searches in a SUSY scenario where gluinos are produced in pairs and decay directly into the lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{0}$.
#: data_file: data32.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],Best SR
550.0,450.0,SR3j-1300
600.0,0.0,SR6j-1200
612.0,587.0,SR3j-1300
625.0,575.0,SR3j-1300
650.0,550.0,SR3j-1300
700.0,500.0,SR6j-1200
712.0,687.0,SR3j-1300
725.0,675.0,SR2j-2100
750.0,450.0,SR4j-1400
750.0,650.0,SR3j-1300
800.0,0.0,SRJigsawSRG1a
800.0,600.0,SR6j-1200
812.0,787.0,SR2j-2100
825.0,775.0,SRJigsawSRC2
850.0,550.0,SR6j-1200
850.0,750.0,SRJigsawSRC3
900.0,500.0,SR4j-1400
925.0,875.0,SR2j-2100
950.0,450.0,SR4j-1400
950.0,650.0,SR4j-1000
950.0,850.0,SRJigsawSRC3
1000.0,0.0,SRJigsawSRG2a
1000.0,600.0,SR4j-1000
1000.0,800.0,SR5j-1700
1012.0,987.0,SR2j-2100
1025.0,975.0,SRJigsawSRC2
1050.0,550.0,SR4j-1400
1050.0,950.0,SRJigsawSRC2
1100.0,100.0,SRJigsawSRG2b
1100.0,300.0,SRJigsawSRG2a
1100.0,500.0,SR4j-1400
1100.0,700.0,SR4j-1400
1100.0,900.0,SR5j-2000
1125.0,1075.0,SRJigsawSRC2
1150.0,50.0,SRJigsawSRG2a
1150.0,250.0,SRJigsawSRG2a
1150.0,450.0,SR4j-1400
1150.0,650.0,SR4j-1400
1150.0,850.0,SRJigsawSRG2a
1150.0,1050.0,SR5j-1700
1200.0,0.0,SRJigsawSRG2a
1200.0,200.0,SRJigsawSRG2a
1200.0,400.0,SR4j-1400
1200.0,600.0,SR4j-1400
1200.0,800.0,SRJigsawSRG1a
1200.0,1000.0,SR5j-1700
1225.0,1175.0,SRJigsawSRC2
1250.0,150.0,SR4j-1800
1250.0,350.0,SR4j-1800
1250.0,550.0,SR4j-1400
1250.0,750.0,SR4j-1400
1250.0,1150.0,SRJigsawSRC3
1300.0,100.0,SR4j-1800
1300.0,300.0,SR4j-1800
1300.0,500.0,SR4j-1800
1300.0,700.0,SR4j-1400
1300.0,900.0,SRJigsawSRG1a
1300.0,1100.0,SR5j-1700
1325.0,1275.0,SRJigsawSRC2
1350.0,50.0,SR4j-1800
1350.0,250.0,SR4j-1800
1350.0,450.0,SR4j-1800
1350.0,650.0,SRJigsawSRG2a
1350.0,850.0,SR4j-1400
1350.0,1250.0,SRJigsawSRC2
1400.0,0.0,SRJigsawSRG3a
1400.0,200.0,SR4j-2200
1400.0,400.0,SR4j-1800
1400.0,600.0,SR4j-1800
1400.0,800.0,SRJigsawSRG2a
1400.0,1000.0,SRJigsawSRG1a
1400.0,1200.0,SR5j-2000
1450.0,150.0,SRJigsawSRG3a
1450.0,350.0,SR4j-2200
1450.0,550.0,SR4j-1800
1450.0,750.0,SRJigsawSRG2a
1450.0,1350.0,SRJigsawSRC2
1500.0,100.0,SR4j-2200
1500.0,300.0,SR4j-2200
1500.0,500.0,SR4j-1800
1500.0,700.0,SR4j-1800
1500.0,900.0,SRJigsawSRG2a
1500.0,1100.0,SRJigsawSRG1a
1500.0,1300.0,SR5j-1700
1550.0,50.0,SRJigsawSRG3a
1550.0,250.0,SRJigsawSRG3a
1550.0,450.0,SR4j-2200
1550.0,650.0,SR4j-1800
1550.0,850.0,SRJigsawSRG2a
1600.0,0.0,SRJigsawSRG3a
1600.0,200.0,SRJigsawSRG3a
1600.0,400.0,SR4j-2200
1600.0,600.0,SR4j-2200
1600.0,800.0,SR4j-1800
1600.0,1000.0,SRJigsawSRG2a
1600.0,1200.0,SRJigsawSRG1a
1650.0,150.0,SR4j-2600
1650.0,350.0,SRJigsawSRG3a
1650.0,550.0,SR4j-2200
1650.0,750.0,SR4j-2200
1700.0,100.0,SR4j-3000
1700.0,300.0,SRJigsawSRG3a
1700.0,500.0,SR4j-2600
1700.0,700.0,SR4j-2200
1700.0,900.0,SRJigsawSRG2a
1700.0,1100.0,SRJigsawSRG2a
1700.0,1300.0,SRJigsawSRG1a
1750.0,50.0,SR4j-2600
1750.0,250.0,SR4j-2600
1750.0,450.0,SR4j-2600
1750.0,650.0,SR4j-2200
1750.0,850.0,SRJigsawSRG2b
1800.0,0.0,SR4j-2600
1800.0,200.0,SR4j-2600
1800.0,400.0,SRJigsawSRG3a
1800.0,600.0,SRJigsawSRG3a
1800.0,800.0,SR4j-2200
1800.0,1000.0,SRJigsawSRG2a
1800.0,1200.0,SRJigsawSRG1b
1850.0,150.0,SR4j-3000
1850.0,350.0,SR4j-2600
1850.0,550.0,SR4j-2600
1850.0,750.0,SR4j-2200
1900.0,100.0,SR4j-3000
1900.0,300.0,SR4j-3000
1900.0,500.0,SR4j-3000
1900.0,700.0,SRJigsawSRG3a
1900.0,900.0,SR4j-2200
1900.0,1100.0,SRJigsawSRG2b
1900.0,1300.0,SRJigsawSRG2a
1950.0,50.0,SR4j-3000
1950.0,250.0,SR4j-3000
1950.0,450.0,SR4j-3000
1950.0,650.0,SR4j-2600
1950.0,850.0,SR4j-2200

#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],CROSS-SECTION UPPER LIMIT 95%CL (FB)
550.0,450.0,2873.73
600.0,0.0,232.58
612.0,587.0,2758.3
625.0,575.0,1960.14
650.0,550.0,1557.18
700.0,500.0,440.103
712.0,687.0,1850.84
725.0,675.0,1447.05
750.0,450.0,295.615
750.0,650.0,837.71
800.0,0.0,32.3236
800.0,600.0,357.831
812.0,787.0,1322.78
825.0,775.0,379.478
850.0,550.0,166.87
850.0,750.0,158.809
900.0,500.0,82.5917
925.0,875.0,975.508
950.0,450.0,34.3406
950.0,650.0,159.212
950.0,850.0,118.65
1000.0,0.0,12.6308
1000.0,600.0,68.6676
1000.0,800.0,217.587
1012.0,987.0,658.684
1025.0,975.0,173.655
1050.0,550.0,29.6019
1050.0,950.0,228.203
1100.0,100.0,6.73153
1100.0,300.0,9.60879
1100.0,500.0,17.7684
1100.0,700.0,57.6802
1100.0,900.0,124.927
1125.0,1075.0,281.545
1150.0,50.0,7.83373
1150.0,250.0,7.60451
1150.0,450.0,13.3394
1150.0,650.0,26.7698
1150.0,850.0,121.076
1150.0,1050.0,363.961
1200.0,0.0,8.18832
1200.0,200.0,7.47034
1200.0,400.0,11.8272
1200.0,600.0,15.9774
1200.0,800.0,28.6516
1200.0,1000.0,169.15
1225.0,1175.0,249.602
1250.0,150.0,6.21625
1250.0,350.0,6.81609
1250.0,550.0,12.2073
1250.0,750.0,24.0785
1250.0,1150.0,118.375
1300.0,100.0,6.42988
1300.0,300.0,6.08546
1300.0,500.0,7.04827
1300.0,700.0,15.1171
1300.0,900.0,26.2164
1300.0,1100.0,192.255
1325.0,1275.0,175.604
1350.0,50.0,5.92422
1350.0,250.0,5.38054
1350.0,450.0,6.04275
1350.0,650.0,8.9216
1350.0,850.0,22.2894
1350.0,1250.0,176.167
1400.0,0.0,4.42478
1400.0,200.0,5.32178
1400.0,400.0,5.22123
1400.0,600.0,7.13377
1400.0,800.0,11.8107
1400.0,1000.0,25.9418
1400.0,1200.0,116.222
1450.0,150.0,4.13582
1450.0,350.0,4.9834
1450.0,550.0,5.34334
1450.0,750.0,7.67904
1450.0,1350.0,129.325
1500.0,100.0,4.07992
1500.0,300.0,4.29339
1500.0,500.0,4.86125
1500.0,700.0,6.15942
1500.0,900.0,11.7344
1500.0,1100.0,24.8336
1500.0,1300.0,144.584
1550.0,50.0,3.11074
1550.0,250.0,3.11548
1550.0,450.0,4.19445
1550.0,650.0,5.11266
1550.0,850.0,7.58154
1600.0,0.0,2.67201
1600.0,200.0,2.94486
1600.0,400.0,3.71554
1600.0,600.0,4.6817
1600.0,800.0,5.94709
1600.0,1000.0,10.6639
1600.0,1200.0,23.7441
1650.0,150.0,1.22917
1650.0,350.0,2.87774
1650.0,550.0,3.69917
1650.0,750.0,5.61705
1700.0,100.0,1.47045
1700.0,300.0,2.56049
1700.0,500.0,1.56197
1700.0,700.0,4.12312
1700.0,900.0,5.94552
1700.0,1100.0,10.4306
1700.0,1300.0,19.9938
1750.0,50.0,1.04202
1750.0,250.0,1.13183
1750.0,450.0,1.29426
1750.0,650.0,3.92424
1750.0,850.0,3.1188
1800.0,0.0,1.01639
1800.0,200.0,1.00387
1800.0,400.0,2.35571
1800.0,600.0,2.80793
1800.0,800.0,4.24391
1800.0,1000.0,5.69918
1800.0,1200.0,5.85275
1850.0,150.0,1.08976
1850.0,350.0,1.00905
1850.0,550.0,1.20577
1850.0,750.0,3.37933
