#: table_doi: 10.17182/hepdata.79165.v2/t22
#: name: Efficiency 9
#: description: Signal efficiency (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the asymmetric decay of the sbottom into bottom quark and neutralino or top quark and chargino, for the b1L-SRA600 signal region.
#: data_file: data21.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Efficiency
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],EFFICIENCY [PCT]
1000.0,100.0,31.0
1000.0,150.0,35.0
1000.0,200.0,33.0
1000.0,250.0,29.0
1000.0,300.0,35.0
1000.0,350.0,30.0
1000.0,450.0,34.0
1000.0,500.0,30.0
1050.0,100.0,30.0
1050.0,150.0,34.0
1050.0,200.0,33.0
1050.0,300.0,35.0
1050.0,350.0,34.0
1050.0,400.0,31.0
1050.0,450.0,30.0
1050.0,500.0,37.0
1050.0,550.0,36.0
1100.0,100.0,30.0
1100.0,150.0,30.0
1100.0,200.0,33.0
1100.0,250.0,25.0
1100.0,300.0,28.0
1100.0,350.0,30.0
1100.0,400.0,30.0
1100.0,450.0,31.0
1100.0,550.0,33.0
1150.0,100.0,29.0
1150.0,150.0,32.0
1150.0,200.0,32.0
1150.0,250.0,29.0
1150.0,300.0,34.0
1150.0,350.0,30.0
1150.0,400.0,32.0
1150.0,450.0,35.0
1150.0,500.0,35.0
1150.0,550.0,31.0
1200.0,150.0,30.0
1200.0,200.0,26.0
1200.0,250.0,31.0
1200.0,300.0,33.0
1200.0,350.0,34.0
1200.0,400.0,32.0
1200.0,450.0,32.0
1200.0,500.0,30.0
1200.0,550.0,31.0
1250.0,100.0,25.0
1250.0,150.0,26.0
1250.0,200.0,30.0
1250.0,250.0,30.0
1250.0,300.0,32.0
1250.0,350.0,25.0
1250.0,400.0,31.0
1250.0,450.0,32.0
1250.0,500.0,39.0
1250.0,550.0,31.0
1300.0,100.0,28.0
1300.0,150.0,25.0
1300.0,200.0,26.0
1300.0,250.0,29.0
1300.0,300.0,29.0
1300.0,350.0,35.0
1300.0,400.0,30.0
1300.0,450.0,34.0
1300.0,500.0,32.0
1300.0,550.0,30.0
300.0,100.0,3.0
400.0,100.0,17.0
400.0,150.0,11.0
450.0,150.0,16.0
450.0,200.0,15.0
500.0,100.0,24.0
500.0,200.0,17.0
500.0,250.0,15.0
500.0,300.0,7.0
550.0,100.0,26.0
550.0,200.0,24.0
550.0,250.0,24.0
550.0,300.0,17.0
600.0,100.0,27.0
600.0,150.0,28.0
600.0,200.0,28.0
600.0,300.0,24.0
600.0,350.0,16.0
600.0,400.0,9.0
650.0,150.0,29.0
650.0,200.0,27.0
650.0,250.0,26.0
650.0,300.0,29.0
650.0,350.0,20.0
650.0,400.0,18.0
650.0,450.0,13.0
700.0,100.0,31.0
700.0,150.0,32.0
700.0,200.0,32.0
700.0,250.0,32.0
700.0,300.0,28.0
700.0,350.0,30.0
700.0,400.0,29.0
700.0,450.0,20.0
700.0,500.0,13.0
750.0,100.0,32.0
750.0,150.0,34.0
750.0,200.0,38.0
750.0,250.0,34.0
750.0,300.0,33.0
750.0,350.0,29.0
750.0,400.0,28.0
750.0,450.0,32.0
750.0,500.0,20.0
750.0,550.0,18.0
800.0,100.0,34.0
800.0,200.0,34.0
800.0,250.0,32.0
800.0,300.0,32.0
800.0,350.0,27.0
800.0,400.0,35.0
800.0,450.0,29.0
800.0,500.0,25.0
800.0,550.0,21.0
800.0,600.0,12.0
850.0,100.0,31.0
850.0,200.0,29.0
850.0,250.0,32.0
850.0,300.0,34.0
850.0,350.0,31.0
850.0,400.0,34.0
850.0,450.0,33.0
850.0,550.0,24.0
850.0,600.0,17.0
900.0,100.0,35.0
900.0,150.0,33.0
900.0,200.0,34.0
900.0,250.0,31.0
900.0,300.0,31.0
900.0,350.0,34.0
900.0,400.0,31.0
900.0,450.0,34.0
900.0,550.0,31.0
900.0,600.0,26.0
950.0,100.0,32.0
950.0,150.0,32.0
950.0,200.0,33.0
950.0,250.0,31.0
950.0,300.0,35.0
950.0,350.0,31.0
950.0,450.0,34.0
950.0,500.0,33.0
950.0,550.0,26.0

