#: table_doi: 10.17182/hepdata.79165.v2/t4
#: name: Acceptance 3
#: description: Signal acceptance (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the symmetric decay of the sbottom into bottom quark and neutralino, for the b0L-SRA550 signal region.
#: data_file: data3.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],ACCEPTANCE [PCT]
1000.0,1.0,14.95
1000.0,100.0,12.88
1000.0,150.0,13.96
1000.0,200.0,12.82
1000.0,250.0,12.17
1000.0,300.0,11.47
1000.0,350.0,10.04
1000.0,400.0,7.71
1000.0,450.0,7.31
1000.0,50.0,13.07
1000.0,500.0,4.88
1000.0,550.0,3.56
1050.0,1.0,16.67
1050.0,100.0,15.39
1050.0,150.0,15.44
1050.0,200.0,14.99
1050.0,300.0,13.0
1050.0,350.0,13.01
1050.0,400.0,11.39
1050.0,450.0,9.71
1050.0,50.0,15.35
1050.0,500.0,8.1
1050.0,550.0,5.57
1050.0,600.0,3.9
1100.0,1.0,17.49
1100.0,100.0,17.17
1100.0,150.0,17.62
1100.0,200.0,16.0
1100.0,250.0,15.17
1100.0,300.0,14.73
1100.0,350.0,13.73
1100.0,400.0,11.3
1100.0,450.0,11.67
1100.0,50.0,16.88
1100.0,500.0,10.59
1100.0,550.0,8.51
1150.0,1.0,18.24
1150.0,100.0,14.85
1150.0,150.0,17.94
1150.0,200.0,17.14
1150.0,250.0,17.64
1150.0,300.0,16.3
1150.0,350.0,14.92
1150.0,400.0,15.51
1150.0,450.0,14.17
1150.0,50.0,18.23
1150.0,500.0,12.88
1150.0,550.0,10.4
1150.0,600.0,8.13
1200.0,1.0,19.65
1200.0,100.0,18.98
1200.0,150.0,19.03
1200.0,200.0,18.67
1200.0,250.0,18.18
1200.0,300.0,17.69
1200.0,350.0,16.27
1200.0,400.0,16.66
1200.0,450.0,15.21
1200.0,50.0,18.97
1200.0,500.0,14.02
1200.0,550.0,13.08
1200.0,600.0,11.11
1250.0,1.0,20.21
1250.0,100.0,21.36
1250.0,150.0,19.73
1250.0,200.0,19.59
1250.0,250.0,18.64
1250.0,300.0,18.88
1250.0,350.0,17.96
1250.0,400.0,17.75
1250.0,450.0,16.55
1250.0,50.0,20.0
1250.0,500.0,15.16
1250.0,550.0,14.0
1250.0,600.0,13.11
1300.0,100.0,20.57
1300.0,150.0,19.57
1300.0,200.0,21.23
1300.0,250.0,21.18
1300.0,300.0,17.15
1300.0,350.0,19.52
1300.0,400.0,18.65
1300.0,450.0,18.26
1300.0,50.0,20.78
1300.0,500.0,17.56
1300.0,550.0,16.21
1300.0,600.0,14.16
250.0,200.0,0.0
250.0,230.0,0.0
250.0,245.0,0.0
300.0,100.0,0.0
300.0,150.0,0.0
300.0,230.0,0.0
300.0,250.0,0.0
300.0,280.0,0.0
300.0,295.0,0.0
350.0,150.0,0.0
350.0,250.0,0.0
350.0,300.0,0.0
350.0,330.0,0.0
350.0,345.0,0.0
400.0,1.0,0.0
