#: table_doi: 10.17182/hepdata.90835.v1/t18
#: name: T1tttt cross section upper limits
#: description: The 95% CL observed and expected upper limits on the production cross sections of the T1tttt signal model as a function of the gluino and LSP masses.
#: data_file: t1tttt_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQBAR NEUTRALINO1
#: Upper Limit,Observed
#: LUMINOSITY [fb$^{-1}$],137
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
607.42,5.9969,0.037952
607.42,15.991,0.039205
607.42,25.984,0.040458
607.42,35.978,0.04171
607.42,45.972,0.042963
607.42,55.966,0.044216
607.42,65.959,0.045469
607.42,75.953,0.046722
607.42,85.947,0.047974
607.42,95.941,0.048834
607.42,105.93,0.053591
607.42,115.93,0.061564
607.42,125.92,0.069537
607.42,135.92,0.07751
607.42,145.91,0.085483
607.42,155.9,0.093456
607.42,165.9,0.10143
607.42,175.89,0.1094
607.42,185.88,0.11737
607.42,195.88,0.123
607.42,205.87,0.12739
607.42,215.87,0.13412
607.42,225.86,0.13957
607.42,235.85,0.14502
607.42,245.85,0.15048
607.42,255.84,0.15593
607.42,265.83,0.16138
607.42,275.83,0.16683
607.42,285.82,0.17229
607.42,295.82,0.17774
607.42,305.81,0.17922
607.42,315.8,0.17623
607.42,325.8,0.17292
607.42,335.79,0.16962
607.42,345.78,0.16632
607.42,355.78,0.16712
607.42,365.77,0.17091
607.42,375.77,0.17203
607.42,385.76,0.0
607.42,395.75,0.0
607.42,405.75,0.0
607.42,415.74,0.0
607.42,425.73,0.0
607.42,435.73,0.0
607.42,445.72,0.0
607.42,455.72,0.0
607.42,465.71,0.0
607.42,475.7,0.0
607.42,485.7,0.0
607.42,495.69,0.0
607.42,505.68,0.0
607.42,515.68,0.0
607.42,525.67,0.0
607.42,535.67,0.0
607.42,545.66,0.0
607.42,555.65,0.0
607.42,565.65,0.0
607.42,575.64,0.0
607.42,585.63,0.0
607.42,595.63,0.0
607.42,605.62,0.0
607.42,615.62,0.0
607.42,625.61,0.0
607.42,635.6,0.0
607.42,645.6,0.0
607.42,655.59,0.0
607.42,665.58,0.0
607.42,675.58,0.0
