#: table_doi: 10.17182/hepdata.90835.v1/t32
#: name: T1qqqq cross section upper limits
#: description: The 95% CL observed upper limits on the production cross sections of the T1qqqq signal model as a function of the gluino and LSP masses.
#: data_file: t1qqqq_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> Q QBAR NEUTRALINO1
#: Upper Limit,Observed
#: LUMINOSITY [fb$^{-1}$],137
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
607.42,6.9344,0.035069
607.42,18.803,0.035204
607.42,30.672,0.035339
607.42,42.541,0.035474
607.42,54.409,0.035609
607.42,66.278,0.035743
607.42,78.147,0.035878
607.42,90.016,0.036013
607.42,101.88,0.036435
607.42,113.75,0.037904
607.42,125.62,0.039373
607.42,137.49,0.040842
607.42,149.36,0.042312
607.42,161.23,0.043781
607.42,173.1,0.04525
607.42,184.97,0.046719
607.42,196.83,0.048189
607.42,208.7,0.049658
607.42,220.57,0.051127
607.42,232.44,0.052596
607.42,244.31,0.054066
607.42,256.18,0.055535
607.42,268.05,0.057004
607.42,279.92,0.058473
607.42,291.78,0.059425
607.42,303.65,0.060438
607.42,315.52,0.063881
607.42,327.39,0.067962
607.42,339.26,0.072044
607.42,351.13,0.076125
607.42,363.0,0.080207
607.42,374.87,0.084288
607.42,386.73,0.088369
607.42,398.6,0.092451
607.42,410.47,0.097058
607.42,422.34,0.10415
607.42,434.21,0.11266
607.42,446.08,0.12116
607.42,457.95,0.12966
607.42,469.82,0.13817
607.42,481.68,0.14667
607.42,493.55,0.15518
607.42,505.42,0.16952
607.42,517.29,0.1908
607.42,529.16,0.21208
607.42,541.03,0.23336
607.42,552.9,0.24194
607.42,564.77,0.24883
607.42,576.63,0.25904
607.42,588.5,0.0
607.42,600.37,0.0
607.42,612.24,0.0
607.42,624.11,0.0
607.42,635.98,0.0
607.42,647.85,0.0
607.42,659.72,0.0
607.42,671.58,0.0
607.42,683.45,0.0
607.42,695.32,0.0
607.42,707.19,0.0
607.42,719.06,0.0
607.42,730.93,0.0
607.42,742.8,0.0
607.42,754.67,0.0
