#: table_doi: 10.17182/hepdata.81996.v1/t36
#: name: Table 36
#: description: Signal efficiency for C1C1 production in SR2-DF300 for the process  P P -> $\widetilde{\chi}_1^\pm \widetilde{\chi}_1^\mp$ -> 2x $\ell \nu \widetilde{\chi}_1^0$.
#: data_file: figaux16d.yaml
#: data_license:   
#: keyword reactions: P P --> Chargino1 Chargino1
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,,,,,P P --> Chargino1 Chargino1 --> ll Neutralino1 Neutralino1
#: SQRT(S) [GEV],,,,,13000.0
$m(\widetilde{\chi}_1^\pm)$,$m(\widetilde{\chi}_1^\pm)$ LOW,$m(\widetilde{\chi}_1^\pm)$ HIGH,$m(\widetilde{\chi}_1^0)$,$m(\widetilde{\chi}_1^0)$ LOW,$m(\widetilde{\chi}_1^0)$ HIGH,Signal Efficiency [%],error +,error -
125.0,100.0,150.0,12.5,0.0,25.0,0.0,0.0,-0.0
175.0,150.0,200.0,12.5,0.0,25.0,0.0,0.0,-0.0
225.0,200.0,250.0,12.5,0.0,25.0,0.0,0.0,-0.0
275.0,250.0,300.0,12.5,0.0,25.0,0.0,0.0,-0.0
325.0,300.0,350.0,12.5,0.0,25.0,0.0,0.0,-0.0
375.0,350.0,400.0,12.5,0.0,25.0,0.0,0.0,-0.0
425.0,400.0,450.0,12.5,0.0,25.0,0.0,0.0,-0.0
475.0,450.0,500.0,12.5,0.0,25.0,0.0,0.0,-0.0
525.0,500.0,550.0,12.5,0.0,25.0,64.7,0.0,-0.0
575.0,550.0,600.0,12.5,0.0,25.0,0.0,0.0,-0.0
625.0,600.0,650.0,12.5,0.0,25.0,64.94,0.0,-0.0
675.0,650.0,700.0,12.5,0.0,25.0,0.0,0.0,-0.0
725.0,700.0,750.0,12.5,0.0,25.0,62.64,0.0,-0.0
775.0,750.0,800.0,12.5,0.0,25.0,0.0,0.0,-0.0
825.0,800.0,850.0,12.5,0.0,25.0,65.36,0.0,-0.0
875.0,850.0,900.0,12.5,0.0,25.0,0.0,0.0,-0.0
925.0,900.0,950.0,12.5,0.0,25.0,61.44,0.0,-0.0
125.0,100.0,150.0,37.5,25.0,50.0,0.0,0.0,-0.0
175.0,150.0,200.0,37.5,25.0,50.0,0.0,0.0,-0.0
225.0,200.0,250.0,37.5,25.0,50.0,0.0,0.0,-0.0
275.0,250.0,300.0,37.5,25.0,50.0,0.0,0.0,-0.0
325.0,300.0,350.0,37.5,25.0,50.0,0.0,0.0,-0.0
375.0,350.0,400.0,37.5,25.0,50.0,0.0,0.0,-0.0
425.0,400.0,450.0,37.5,25.0,50.0,0.0,0.0,-0.0
475.0,450.0,500.0,37.5,25.0,50.0,0.0,0.0,-0.0
525.0,500.0,550.0,37.5,25.0,50.0,0.0,0.0,-0.0
575.0,550.0,600.0,37.5,25.0,50.0,0.0,0.0,-0.0
625.0,600.0,650.0,37.5,25.0,50.0,0.0,0.0,-0.0
675.0,650.0,700.0,37.5,25.0,50.0,0.0,0.0,-0.0
725.0,700.0,750.0,37.5,25.0,50.0,0.0,0.0,-0.0
775.0,750.0,800.0,37.5,25.0,50.0,0.0,0.0,-0.0
825.0,800.0,850.0,37.5,25.0,50.0,0.0,0.0,-0.0
875.0,850.0,900.0,37.5,25.0,50.0,0.0,0.0,-0.0
925.0,900.0,950.0,37.5,25.0,50.0,0.0,0.0,-0.0
125.0,100.0,150.0,62.5,50.0,75.0,0.0,0.0,-0.0
175.0,150.0,200.0,62.5,50.0,75.0,0.0,0.0,-0.0
225.0,200.0,250.0,62.5,50.0,75.0,0.0,0.0,-0.0
275.0,250.0,300.0,62.5,50.0,75.0,0.0,0.0,-0.0
325.0,300.0,350.0,62.5,50.0,75.0,0.0,0.0,-0.0
375.0,350.0,400.0,62.5,50.0,75.0,0.0,0.0,-0.0
425.0,400.0,450.0,62.5,50.0,75.0,0.0,0.0,-0.0
475.0,450.0,500.0,62.5,50.0,75.0,0.0,0.0,-0.0
525.0,500.0,550.0,62.5,50.0,75.0,0.0,0.0,-0.0
575.0,550.0,600.0,62.5,50.0,75.0,0.0,0.0,-0.0
625.0,600.0,650.0,62.5,50.0,75.0,0.0,0.0,-0.0
675.0,650.0,700.0,62.5,50.0,75.0,65.47,0.0,-0.0
725.0,700.0,750.0,62.5,50.0,75.0,0.0,0.0,-0.0
775.0,750.0,800.0,62.5,50.0,75.0,63.15,0.0,-0.0
825.0,800.0,850.0,62.5,50.0,75.0,0.0,0.0,-0.0
875.0,850.0,900.0,62.5,50.0,75.0,63.0,0.0,-0.0
925.0,900.0,950.0,62.5,50.0,75.0,0.0,0.0,-0.0
125.0,100.0,150.0,87.5,75.0,100.0,0.0,0.0,-0.0
175.0,150.0,200.0,87.5,75.0,100.0,0.0,0.0,-0.0
225.0,200.0,250.0,87.5,75.0,100.0,0.0,0.0,-0.0
275.0,250.0,300.0,87.5,75.0,100.0,0.0,0.0,-0.0
325.0,300.0,350.0,87.5,75.0,100.0,0.0,0.0,-0.0
375.0,350.0,400.0,87.5,75.0,100.0,0.0,0.0,-0.0
425.0,400.0,450.0,87.5,75.0,100.0,0.0,0.0,-0.0
475.0,450.0,500.0,87.5,75.0,100.0,0.0,0.0,-0.0
525.0,500.0,550.0,87.5,75.0,100.0,0.0,0.0,-0.0
575.0,550.0,600.0,87.5,75.0,100.0,0.0,0.0,-0.0
625.0,600.0,650.0,87.5,75.0,100.0,0.0,0.0,-0.0
675.0,650.0,700.0,87.5,75.0,100.0,0.0,0.0,-0.0
725.0,700.0,750.0,87.5,75.0,100.0,0.0,0.0,-0.0
775.0,750.0,800.0,87.5,75.0,100.0,0.0,0.0,-0.0
825.0,800.0,850.0,87.5,75.0,100.0,0.0,0.0,-0.0
875.0,850.0,900.0,87.5,75.0,100.0,0.0,0.0,-0.0
925.0,900.0,950.0,87.5,75.0,100.0,0.0,0.0,-0.0
125.0,100.0,150.0,112.5,100.0,125.0,0.0,0.0,-0.0
